sample_id,field_id,class,road_class,urbimpact,water_factor,soil_ph,loi_105_gkg,tc_105_gkg,tn_105_gkg,tic_105_gkg,toc_105_gkg,cn_ratio,Na_40_gkg,Mg_40_gkg,K_40_gkg,Ca_40_gkg,Mn_40_gkg,Fe_40_gkg,P_40_gkg,S_40_gkg,Cu_40_gkg,Zn_40_gkg,Pb_40_gkg,Cd_40_gkg,Al_40_gkg,Si_40_gkg,undissolved_silicates_percent,Na_105_gkg,Mg_105_gkg,K_105_gkg,Ca_105_gkg,Mn_105_gkg,Fe_105_gkg,P_105_gkg,S_105_gkg,Cu_105_gkg,Zn_105_gkg,Pb_105_gkg,Cd_105_gkg,Al_105_gkg,Si_105_gkg
1,abira 1a,Short-term,inf_road,Mid-low,1.014986011,5.5,38.08133641,17.72159471,1.526308284,,17.72159471,11.61075708,0.09333543,0.615709591,2.358746914,1.103827005,0.186377544,14.62810986,0.218801315,0.186506495,0.004762491,0.021880638,0.021092183,0.000864688,50.18782393,0.260827679,82.47248095,0.094734155,0.624936622,2.394095122,1.120368969,0.1891706,14.84732688,0.222080274,0.189301483,0.004833862,0.022208542,0.02140827,0.000877646,50.93993923,0.264736446
4,abira 2a,Short-term,inf_road,Mid-low,1.007367618,4.93,20.51778795,9.137553157,0.680809227,,9.137553157,13.42160593,0.053481592,0.362652842,1.307197066,0.222078802,0.137011205,9.535773908,0.115711575,0.088467494,0.002879234,0.009051003,0.011238849,0.000484911,28.09818549,0.101806166,90.40342298,0.053875624,0.365324729,1.316827994,0.223714994,0.138020651,9.606029845,0.116564093,0.089119289,0.002900447,0.009117687,0.011321653,0.000488484,28.30520218,0.102556235
7,abira 3a,Short-term,inf_road,Mid-low,1.010854391,6.63,33.01108581,12.75565359,1.047451931,0.037431889,12.7182217,12.14205762,0.052947278,0.501717903,2.243647157,1.16672154,0.244120724,15.51911346,0.265611841,0.125530104,0.004945665,0.030205889,0.029146346,0.00103318,42.54447938,0.032801974,83.66666667,0.053521989,0.507163745,2.268000581,1.179385592,0.246770506,15.687564,0.268494896,0.126892657,0.004999347,0.030533755,0.029462712,0.001044395,43.00627381,0.03315802
8,abira 3b,Short-term,inf_road,Mid-low,1.028530259,5.79,36.81935386,18.02877756,1.606526751,,18.02877756,11.22220812,0.096548202,0.589611372,2.477387536,1.041751521,0.304814366,15.69862189,0.281635615,0.169107243,0.005063417,0.020715597,0.015271313,0.000668253,44.0756315,0.240522391,84.18079096,0.099302747,0.606433137,2.548068045,1.071472962,0.313510798,16.14650764,0.289670752,0.173931916,0.005207878,0.021306619,0.015707007,0.000687319,45.3331207,0.247384557
10,aduabeng 1a(OFF GRID),Short-term,uninf_road,Low,1.012828034,6.06,44.53147915,19.31963906,1.912065728,0.321131829,18.99850723,9.936116185,0.060252288,0.68184208,1.137736621,1.392316043,0.68252909,18.88739349,0.246315286,0.211430604,0.012577121,0.025362173,0.01701584,0.001180976,44.23946334,0.2450307,83.84279476,0.061025206,0.690588773,1.152331545,1.41017672,0.691284596,19.12968161,0.249475026,0.214142843,0.012738461,0.02568752,0.01723412,0.001196125,44.80696867,0.248173963
12,aduabeng 1c(OFF GRID),Short-term,uninf_road,Low,1.018622542,6.56,54.9441239,23.88839194,2.359674274,0.069482441,23.8189095,10.09415145,0.030910681,0.7567445,1.272867514,2.172239486,0.698319044,18.13219171,0.309984449,0.243111311,0.013309164,0.022717833,0.026952604,0.001273635,46.52851501,0.03701203,78.67958813,0.031486316,0.770837006,1.296571542,2.212692107,0.71132352,18.46985921,0.315757147,0.247638661,0.013557015,0.023140897,0.02745453,0.001297353,47.39499424,0.037701288
14,aduabeng 2b(OFF GRID),Short-term,uninf_road,Low,1.014318391,5.51,37.48211929,15.57308037,1.569911829,,15.57308037,9.919716566,0.153422719,0.551876851,1.602012102,0.953724933,0.488144416,26.20208913,0.257461755,0.177917945,0.016678695,0.024058835,0.017641205,0.001540736,51.44022596,0.107005212,78.07486631,0.155619485,0.559778839,1.624950337,0.967380739,0.495133858,26.57726087,0.261148193,0.180465444,0.016917507,0.024403319,0.017893799,0.001562796,52.17676721,0.108537354
16,aduabeng 3a(OFF GRID),Short-term,uninf_road,Low,1.01021873,5.48,32.61706032,13.14401419,1.212792759,,13.14401419,10.83780728,0.060297183,0.45502515,1.112139984,0.697009684,0.478505402,23.99386236,0.215914915,0.130059341,0.012537119,0.017117746,0.02364413,0.001720446,36.86057268,0.022810292,83.70149254,0.060913343,0.459674929,1.123504642,0.704132238,0.483395119,24.23904915,0.218121291,0.131388382,0.012665233,0.017292668,0.023885743,0.001738027,37.23724091,0.023043384
18,aduabeng 3c(OFF GRID),Short-term,uninf_road,Low,1.030408777,4.95,27.28684963,10.15780559,0.894985408,,10.15780559,11.34968849,0.094107375,0.420439159,1.210499742,0.183187397,0.50381234,30.41004665,0.213184073,0.128169883,0.014118097,0.024301495,0.001159607,0.001922319,36.62893258,0.230778425,88.36789901,0.096969065,0.433224199,1.247309559,0.188757902,0.519132658,31.33477899,0.21966674,0.132067373,0.014547411,0.025040474,0.001194869,0.001980775,37.74277364,0.237796114
21,adumanafo 1c,Short-term,uninf_road,Low,1.009618945,5.56,20.66802663,11.36267166,1.059921082,,11.36267166,10.7202997,0.070870738,0.32667336,1.773956661,0.403936206,0.211505235,7.145971957,0.133907534,0.084688891,0.002085003,0.013064706,0.01149891,0.000403875,27.91968682,0.207420221,91.11944966,0.07155244,0.329815613,1.791020252,0.407821646,0.213539692,7.214708665,0.135195583,0.085503508,0.002105058,0.013190375,0.011609518,0.00040776,28.18824474,0.209415385
22,adumanafo 2a,Short-term,uninf_road,Low,1.007768615,6.59,26.65232461,11.94194502,1.127757945,0.219344118,11.7226009,10.39460724,0.116236193,0.544739922,2.744625053,0.750197183,0.287744386,10.08164954,0.183127454,0.112910352,0.003139111,0.018920314,0.016381492,0.000568964,41.04940485,0.265683293,86.55616943,0.117139187,0.548971797,2.765946988,0.756025176,0.289979762,10.15997,0.184550101,0.113787509,0.003163498,0.019067299,0.016508753,0.000573384,41.36830186,0.267747284
