Sample_id,Field_ID,farms,Grid,pH [H2O],Classification ,Zr,Zr Error,Sr,Sr Error,Rb,Rb Error,Th,Th Error,Pb,Pb Error,As,As Error,Zn,Zn Error,Cu,Cu Error,Ni,Ni Error,Fe,Fe Error,Mn,Mn Error,Cr,Cr Error,V,V Error,Ti,Ti Error,Ca,Ca Error,K,K Error,S,S Error,Ba,Ba Error,Cs,Cs Error,Location_x,Location_y,,,,,,,,,,,,,
1,abira 1a,abira1,ksb70,5.5,Short_term,189.82,3.36,17.16,1.33,21.77,1.68,2.88,0.75,10.08,3.28,8.74,2.77,21.38,4.87,< LOD,12.36,37.53,16.57,16828.11,149.18,174.14,33.92,39.48,11.92,80.69,20.69,5312.26,77.61,2900.74,80.98,5675.11,139.66,< LOD,156.7,< LOD,31.27,< LOD,2.07,666588,749522,,,,,,,,,,,,,
2,abira 1b,abira1,ksb70,6.39,Short_term,286.51,4.14,32.01,1.68,40.26,2.17,4.05,0.86,19.59,3.83,9.83,3.17,31.78,5.45,16.59,8.8,28.65,17.55,28783.75,199.47,293.32,39,63.93,14.07,107.88,24.85,5892.67,92,5704.41,119.58,6077.91,160.92,315.14,134.83,< LOD,30.88,< LOD,2.04,666579,749498,,,,,,,,,,,,,
3,abira 1c,abira1,ksb70,4.99,Short_term,243.52,3.85,19.29,1.42,27.73,1.9,2.36,0.78,15.25,3.63,8.5,3.01,24.86,5.21,< LOD,12.71,< LOD,25.69,23311.52,180.47,260.14,38,57.78,12.83,102.71,22.04,5406.3,81.78,1609.45,68.38,5059.6,139.01,< LOD,149.93,< LOD,31.91,< LOD,2.1,666609,749496,,,,,,,,,,,,,
4,abira 2a,abira2,ksb70,4.93,Short_term,180.01,3.23,9.78,1.14,16.3,1.54,1.88,0.69,6.62,3.05,8.78,2.62,11.45,4.48,< LOD,11.67,24.49,16.07,13273.04,131.27,137.17,32.15,22.16,10.63,67.38,18.43,4972.41,69.63,1084.51,52.45,4460.99,117.09,< LOD,136.56,< LOD,30.95,< LOD,2.04,666364,749403,,,,,,,,,,,,,
5,abira 2b,abira2,ksb70,6.06,Short_term,219.54,3.61,15.31,1.3,20.03,1.67,1.8,0.71,6.33,3.13,10.98,2.75,10.81,4.58,< LOD,12.2,< LOD,24.66,13057.47,133.33,178.22,34.32,< LOD,15.86,79.52,18.86,5131.31,70.91,2260.27,67.71,4759.91,120.69,< LOD,138.17,83.94,21.12,4.46,1.39,666354,749400,,,,,,,,,,,,,
6,abira 2c,abira2,ksb70,5.29,Short_term,134.5,2.92,10.98,1.19,13.1,1.46,1.88,0.7,< LOD,4.47,7.02,2.54,10.58,4.53,< LOD,11.79,< LOD,23.97,11607.87,125.26,170.73,33.61,< LOD,14.87,45.29,16.76,4325.85,63.33,2335.38,65.32,4249.82,110.61,155.19,89.45,99.22,21.26,6.22,1.39,666341,749390,,,,,,,,,,,,,
7,abira 3a,abira3,ksb70,6.63,Short_term,225.58,3.67,23.25,1.48,29.35,1.9,1.92,0.74,12.39,3.44,9.44,2.9,42.37,5.75,< LOD,12.62,< LOD,25.1,24037.52,180.18,254.3,37.19,43.09,13.04,105.67,23.43,5658.59,86.68,3426.13,93.85,6753,161.45,< LOD,165.49,< LOD,32.12,< LOD,2.11,666472,749211,,,,,,,,,,,,,
8,abira 3b,abira3,ksb70,5.79,Short_term,230.66,3.69,23.57,1.49,31.39,1.94,2.73,0.77,11.64,3.4,13.1,2.98,21.65,4.97,< LOD,12.59,29.97,16.78,20969.03,167.93,362.93,39.41,39.32,12.53,99.04,22.85,5895.14,85.21,3201.02,88.63,7048.95,159.25,253.15,118.34,38.42,21.15,< LOD,2.09,666465,749202,,,,,,,,,,,,,
9,abira 3c,abira3,ksb70,5.85,Short_term,273.99,4,21.95,1.46,31.95,1.96,2.96,0.78,11.13,3.39,9.24,2.87,28.6,5.32,< LOD,12.34,32.51,17.05,19811.41,164.17,246.51,36.81,45.12,12.2,91.31,21.96,5992.85,82.89,2085.84,73.54,6263.95,147.73,< LOD,157.47,< LOD,31.04,< LOD,2.05,666457,749211,,,,,,,,,,,,,
10,aduabeng 1a(OFF GRID),aduabeng1,ksb2,6.06,Short_term,247.39,3.85,22.76,1.48,13.64,1.51,< LOD,1.03,11.61,3.41,19.67,3.18,40.55,5.74,16.21,8.71,30.62,17.31,22509.65,176.06,683.35,46.92,51.41,12.6,95.88,22.56,5925,84.78,3296.59,86.06,2833.61,110.39,178.03,111.28,< LOD,32.54,< LOD,2.14,654915,727382,,,,,,,,,,,,,
11,aduabeng 1b(OFF GRID),aduabeng1,ksb2,6.75,Short_term,225.37,3.72,38.82,1.79,18.61,1.65,1.25,0.71,9.65,3.34,27.31,3.34,39.99,5.76,30.54,9.13,< LOD,25.78,24243.79,182.93,629.48,45.93,41.85,13.09,102.3,23.24,5565.42,86.21,6042.35,116.22,2830.8,115.34,269.41,123.79,< LOD,32.06,< LOD,2.1,654933,727385,,,,,,,,,,,,,
12,aduabeng 1c(OFF GRID),aduabeng1,ksb2,6.56,Short_term,246.5,3.85,29.07,1.61,16.31,1.59,1.66,0.72,8.1,3.27,24.23,3.22,45.87,5.91,< LOD,12.77,29.79,17.29,22734.6,177.18,679.42,46.81,43.39,12.58,87.36,22.51,5681.93,84.27,4410.13,97.82,2902.34,112.12,199.75,114.01,< LOD,31.71,< LOD,2.07,654922,727395,,,,,,,,,,,,,
13,aduabeng 2a(OFF GRID),aduabeng2,ksb2,4.87,Short_term,252.34,4.12,19.84,1.51,18.57,1.76,< LOD,1.15,8.15,3.52,17.87,3.26,84.91,7.59,33.69,10.04,39.78,19.5,40995.12,250.89,570.11,49.54,140.78,15.7,161.48,27.66,6739.35,101.39,1206.12,67.81,3545.42,132.72,< LOD,190.68,111.53,23.73,2.82,1.54,654759,727392,,,,,,,,,,,,,
14,aduabeng 2b(OFF GRID),aduabeng2,ksb2,5.51,Short_term,279.58,4.24,21.98,1.54,17.02,1.67,1.2,0.75,6.28,3.38,20.01,3.21,88.22,7.48,25.53,9.6,29.26,18.84,36820.92,233.9,493.99,46.28,97.37,14.93,135.37,28.54,7902.03,107.52,1988.88,78.85,3195.67,126.77,< LOD,185.18,< LOD,34.07,< LOD,2.23,654733,727387,,,,,,,,,,,,,
15,aduabeng 2c(OFF GRID),aduabeng2,ksb2,4.97,Short_term,233.42,3.86,14.38,1.34,11.62,1.48,< LOD,1.09,7.84,3.39,12.8,2.99,80.62,7.16,17.93,9.17,< LOD,27.37,33656.07,220.86,404.09,43.31,94.48,14.38,150.9,25.96,6551.57,95.7,1126.52,62.48,2755.08,115.96,< LOD,178.38,< LOD,33.66,< LOD,2.2,654720,727381,,,,,,,,,,,,,
16,aduabeng 3a(OFF GRID),aduabeng3,ksb2,5.48,Short_term,259.19,4.1,17.08,1.43,12.07,1.53,< LOD,1.12,8.79,3.5,15.88,3.17,97.68,7.8,17.11,9.35,32.85,18.85,35456.53,230.17,523.34,47.02,119.95,14.83,137.88,27.04,7275.58,101.12,1453.06,68.04,2510.95,112.92,< LOD,177.31,66.09,23.09,2.67,1.51,654643,727235,,,,,,,,,,,,,
17,aduabeng 3b(OFF GRID),aduabeng3,ksb2,5.87,Short_term,283.99,4.31,23.4,1.58,16.35,1.65,1.62,0.78,11.05,3.61,18.9,3.34,85.85,7.51,20.38,9.49,48.08,19.17,33679.59,226.27,628.91,49.59,110.09,14.95,158.04,27.72,7464.9,103.1,2302.8,81.41,2735.33,118.13,< LOD,184.01,107.88,22.99,3.4,1.49,654633,727242,,,,,,,,,,,,,
18,aduabeng 3c(OFF GRID),aduabeng3,ksb2,4.95,Short_term,206.64,3.8,13.32,1.36,10.92,1.53,1.28,0.78,6.2,3.47,18.36,3.25,103.1,8.12,21.7,9.77,55.88,19.93,41532.8,254.9,559.01,49.92,156.97,16.17,124.26,27.43,6673.51,102.04,691.12,57.71,2584.46,119.48,< LOD,186.53,123.05,23.46,5.77,1.53,654632,727258,,,,,,,,,,,,,
19,adumanafo 1a,adumanafo1,ksb68,6.85,Short_term,158.85,3.1,19.52,1.37,30.31,1.86,1.42,0.69,10.68,3.24,10.8,2.81,21.1,4.86,< LOD,11.91,35.46,16.26,8429.76,106.42,449.81,39.41,< LOD,14.07,55.74,15.2,3442.42,55.62,3786.99,80.01,9788.78,153.55,< LOD,124.01,< LOD,30.85,< LOD,2.03,661940,748819,,,,,,,,,,,,,
20,adumanafo 1b,adumanafo1,ksb68,6.87,Short_term,192.8,3.32,24.43,1.46,35.91,1.97,1.96,0.71,11.83,3.27,11.78,2.84,24.68,4.91,< LOD,11.98,< LOD,23.41,11270.92,120.63,396.71,37.77,18.45,10.26,67.35,16.76,3688.81,61.11,4118.94,87.11,8715.53,154.69,< LOD,137.4,< LOD,30.26,< LOD,1.99,661935,748833,,,,,,,,,,,,,
21,adumanafo 1c,adumanafo1,ksb68,5.56,Short_term,161.73,3.09,14.55,1.25,23.5,1.72,1.78,0.69,11.11,3.24,8.38,2.74,17.78,4.68,< LOD,11.83,< LOD,23.75,10089.62,114.9,308.29,35.98,16.1,9.71,54.13,15.13,3418.13,55.57,1907.96,61.06,6659.25,130.6,< LOD,124.3,< LOD,31.05,< LOD,2.04,661926,748833,,,,,,,,,,,,,
22,adumanafo 2a,adumanafo2,ksb68,6.59,Short_term,177.42,3.18,22.14,1.4,34.74,1.92,1.84,0.7,9.33,3.13,11.38,2.74,11.02,4.4,< LOD,11.75,< LOD,23.15,13371.25,130.14,295.96,35.25,37.57,10.78,57.04,16.91,3666.14,61.95,2624.15,74.97,8776.41,157.61,< LOD,137.92,< LOD,28.26,< LOD,1.9,661915,748801,,,,,,,,,,,,,
23,adumanafo 2b,adumanafo2,ksb68,7.01,Short_term,163.89,3.07,31.68,1.57,56.37,2.3,1.59,0.69,10.39,3.16,8.44,2.67,19.35,4.64,< LOD,11.26,< LOD,22.23,7399.1,97.18,395.52,36.54,< LOD,13.41,34.82,13.8,2619.09,49.56,2685.8,73.95,16823.16,192.5,< LOD,126.28,< LOD,28.07,< LOD,1.87,661945,748777,,,,,,,,,,,,,
